GeneId	GeneName	GOIds	GoNames	Type
MGI:MGI:96412	Ide	GO:0016887|GO:1901143|GO:1901142|GO:0008340|GO:0042277|GO:0045861|GO:0051291|GO:0044257|GO:0005576|GO:0004222|GO:0000166|GO:0005524|GO:0097242|GO:0051289|GO:0003824|GO:0010815|GO:0140036|GO:0005829|GO:0031597|GO:0017046|GO:0010992|GO:0050435|GO:0051603|GO:0043559|GO:0008270|GO:0042802|GO:0042803|GO:0032461|GO:0008152|GO:0051260|GO:0005782|GO:0008233|GO:0005102|GO:0001540|GO:0005886|GO:0008237|GO:0009986|GO:0042447|GO:0031626|GO:0005634|GO:0005777|GO:0005615|GO:0005737|GO:0046872|GO:0005739|GO:0006508|GO:0016020|GO:0016787	ATPase activity|insulin catabolic process|insulin metabolic process|determination of adult lifespan|peptide binding|negative regulation of proteolysis|protein heterooligomerization|cellular protein catabolic process|extracellular region|metalloendopeptidase activity|nucleotide binding|ATP binding|amyloid-beta clearance|protein homotetramerization|catalytic activity|bradykinin catabolic process|ubiquitin-dependent protein binding|cytosol|cytosolic proteasome complex|peptide hormone binding|ubiquitin recycling|amyloid-beta metabolic process|proteolysis involved in cellular protein catabolic process|insulin binding|zinc ion binding|identical protein binding|protein homodimerization activity|positive regulation of protein oligomerization|metabolic process|protein homooligomerization|peroxisomal matrix|peptidase activity|receptor binding|amyloid-beta binding|plasma membrane|metallopeptidase activity|cell surface|hormone catabolic process|beta-endorphin binding|nucleus|peroxisome|extracellular space|cytoplasm|metal ion binding|mitochondrion|proteolysis|membrane|hydrolase activity	1300012G03Rik|4833415K22Rik	protein
MGI:MGI:1916218	Cdan1	GO:0005634|GO:0006998|GO:0005737|GO:0008104|GO:0031497|GO:0005829|GO:0012505|GO:0008156|GO:0006325|GO:0003674|GO:0005886	nucleus|nuclear envelope organization|cytoplasm|protein localization|chromatin assembly|cytosol|endomembrane system|negative regulation of DNA replication|chromatin organization|molecular_function|plasma membrane	1500015A01Rik|CDA1|CDA-I|codanin-1	protein
MGI:MGI:1916207	Paqr6	GO:0016020|GO:0016021|GO:0003707|GO:0008289|GO:0005496|GO:0048545|GO:0005886	membrane|integral component of membrane|steroid hormone receptor activity|lipid binding|steroid binding|response to steroid hormone|plasma membrane	1500001B10Rik	protein
MGI:MGI:1930705	Stx1b	GO:0042734|GO:1903422|GO:0008021|GO:0015031|GO:0006886|GO:0005652|GO:0005654|GO:0006836|GO:0098793|GO:0016192|GO:0030424|GO:1904050|GO:0019901|GO:0019904|GO:0060076|GO:0005484|GO:0061669|GO:0000149|GO:0048787|GO:0005102|GO:0006810|GO:0005886|GO:0005634|GO:0005813|GO:0016081|GO:0048791|GO:0005515|GO:0010807|GO:0005737|GO:0001956|GO:0006904|GO:0016020|GO:0031629|GO:0010468|GO:0016021|GO:0072657|GO:0031201|GO:2000463|GO:0017157|GO:0098967	presynaptic membrane|negative regulation of synaptic vesicle recycling|synaptic vesicle|protein transport|intracellular protein transport|nuclear lamina|nucleoplasm|neurotransmitter transport|presynapse|vesicle-mediated transport|axon|positive regulation of spontaneous neurotransmitter secretion|protein kinase binding|protein domain specific binding|excitatory synapse|SNAP receptor activity|spontaneous neurotransmitter secretion|SNARE binding|presynaptic active zone membrane|receptor binding|transport|plasma membrane|nucleus|centrosome|synaptic vesicle docking|calcium ion-regulated exocytosis of neurotransmitter|protein binding|regulation of synaptic vesicle priming|cytoplasm|positive regulation of neurotransmitter secretion|vesicle docking involved in exocytosis|membrane|synaptic vesicle fusion to presynaptic active zone membrane|regulation of gene expression|integral component of membrane|protein localization to membrane|SNARE complex|positive regulation of excitatory postsynaptic potential|regulation of exocytosis|exocytic insertion of neurotransmitter receptor to postsynaptic membrane	Stx1b2	protein
MGI:MGI:2140882	Upk3b	GO:0016020|GO:0016021|GO:0046325|GO:0005886	membrane|integral component of membrane|negative regulation of glucose import|plasma membrane	P35|PMS2L14|UpIIIb	protein
MGI:MGI:1206581	Pik3ca	GO:0040014|GO:0014065|GO:0030295|GO:0046854|GO:0006006|GO:0006468|GO:0046934|GO:0043524|GO:0060326|GO:0000166|GO:0005943|GO:0048661|GO:0005524|GO:0005942|GO:0006954|GO:0043491|GO:2000811|GO:0001525|GO:0071333|GO:0001889|GO:0097009|GO:2000653|GO:0016310|GO:0030168|GO:0030027|GO:0033138|GO:2000270|GO:0002250|GO:0004674|GO:0043457|GO:0044029|GO:0005886|GO:0060612|GO:0005515|GO:0005737|GO:0048015|GO:0045087|GO:0043560|GO:0006909|GO:0010468|GO:0016740|GO:0016301|GO:0035005|GO:0016303	regulation of multicellular organism growth|phosphatidylinositol 3-kinase signaling|protein kinase activator activity|phosphatidylinositol phosphorylation|glucose metabolic process|protein phosphorylation|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|negative regulation of neuron apoptotic process|cell chemotaxis|nucleotide binding|phosphatidylinositol 3-kinase complex, class IA|positive regulation of smooth muscle cell proliferation|ATP binding|phosphatidylinositol 3-kinase complex|inflammatory response|protein kinase B signaling|negative regulation of anoikis|angiogenesis|cellular response to glucose stimulus|liver development|energy homeostasis|regulation of genetic imprinting|phosphorylation|platelet activation|lamellipodium|positive regulation of peptidyl-serine phosphorylation|negative regulation of fibroblast apoptotic process|adaptive immune response|protein serine/threonine kinase activity|regulation of cellular respiration|hypomethylation of CpG island|plasma membrane|adipose tissue development|protein binding|cytoplasm|phosphatidylinositol-mediated signaling|innate immune response|insulin receptor substrate binding|phagocytosis|regulation of gene expression|transferase activity|kinase activity|1-phosphatidylinositol-4-phosphate 3-kinase activity|1-phosphatidylinositol-3-kinase activity	6330412C24Rik|caPI3K|p110alpha	protein
MGI:MGI:1340905	Fcna	GO:0005515|GO:0046872|GO:0097367|GO:0001867|GO:0005581|GO:0045087|GO:0016020|GO:0005576|GO:0030246|GO:0002376|GO:0005886	protein binding|metal ion binding|carbohydrate derivative binding|complement activation, lectin pathway|collagen trimer|innate immune response|membrane|extracellular region|carbohydrate binding|immune system process|plasma membrane	Fcn1|ficolin A	protein
MGI:MGI:2665170	P2rx2	GO:0042734|GO:0014069|GO:0007274|GO:0008144|GO:0015276|GO:0051291|GO:0043025|GO:0004931|GO:0007528|GO:0007605|GO:0005524|GO:0005887|GO:0003029|GO:0006811|GO:0001666|GO:0005507|GO:0043195|GO:0048741|GO:0016151|GO:0043197|GO:0048266|GO:0098655|GO:0014832|GO:0019228|GO:0050897|GO:0008270|GO:0010033|GO:0042802|GO:0050909|GO:0033198|GO:0009743|GO:0035091|GO:0051260|GO:0007268|GO:0043235|GO:0006810|GO:0005622|GO:0005886|GO:0009986|GO:0005216|GO:0005639|GO:0001614|GO:0045340|GO:0016020|GO:0046870|GO:0016021|GO:0030432|GO:0016324	presynaptic membrane|postsynaptic density|neuromuscular synaptic transmission|drug binding|ligand-gated ion channel activity|protein heterooligomerization|neuronal cell body|extracellularly ATP-gated cation channel activity|neuromuscular junction development|sensory perception of sound|ATP binding|integral component of plasma membrane|detection of hypoxic conditions in blood by carotid body chemoreceptor signaling|ion transport|response to hypoxia|copper ion binding|terminal bouton|skeletal muscle fiber development|nickel cation binding|dendritic spine|behavioral response to pain|cation transmembrane transport|urinary bladder smooth muscle contraction|neuronal action potential|cobalt ion binding|zinc ion binding|response to organic substance|identical protein binding|sensory perception of taste|response to ATP|response to carbohydrate|phosphatidylinositol binding|protein homooligomerization|chemical synaptic transmission|receptor complex|transport|intracellular|plasma membrane|cell surface|ion channel activity|integral component of nuclear inner membrane|purinergic nucleotide receptor activity|mercury ion binding|membrane|cadmium ion binding|integral component of membrane|peristalsis|apical plasma membrane	P2x2|P2X2a	protein
MGI:MGI:2179435	Nlgn1	GO:0014069|GO:0050839|GO:1902474|GO:0051491|GO:0097091|GO:0005794|GO:0002087|GO:0045202|GO:0051290|GO:0030425|GO:0048489|GO:0045211|GO:0043198|GO:0043197|GO:2000311|GO:2000310|GO:0060291|GO:0017146|GO:0051968|GO:0051965|GO:0061002|GO:0050808|GO:1904861|GO:0060076|GO:0051260|GO:0060999|GO:0046983|GO:0004872|GO:1900029|GO:2000809|GO:0005886|GO:0099560|GO:0045184|GO:0006605|GO:0016080|GO:0007416|GO:0005515|GO:0098942|GO:0030054|GO:0032433|GO:0050804|GO:0032230|GO:1905520|GO:0007157|GO:0007399|GO:0009897|GO:0007158|GO:0007155|GO:0045664|GO:1902533|GO:0005887|GO:0071277|GO:0097104|GO:0042043|GO:0097105|GO:0030165|GO:0140058|GO:0035418|GO:0016339|GO:0031175|GO:0048789|GO:1900244|GO:0097120|GO:0009986|GO:0097110|GO:0097113|GO:0048511|GO:0097115|GO:0072553|GO:0097114|GO:0016020|GO:0016021|GO:0097119|GO:0010841|GO:2000463|GO:0052689|GO:2000302	postsynaptic density|cell adhesion molecule binding|positive regulation of protein localization to synapse|positive regulation of filopodium assembly|synaptic vesicle clustering|Golgi apparatus|regulation of respiratory gaseous exchange by neurological system process|synapse|protein heterotetramerization|dendrite|synaptic vesicle transport|postsynaptic membrane|dendritic shaft|dendritic spine|regulation of AMPA receptor activity|regulation of NMDA receptor activity|long-term synaptic potentiation|NMDA selective glutamate receptor complex|positive regulation of synaptic transmission, glutamatergic|positive regulation of synapse assembly|negative regulation of dendritic spine morphogenesis|synapse organization|excitatory synapse assembly|excitatory synapse|protein homooligomerization|positive regulation of dendritic spine development|protein dimerization activity|receptor activity|positive regulation of ruffle assembly|positive regulation of synaptic vesicle clustering|plasma membrane|synaptic membrane adhesion|establishment of protein localization|protein targeting|synaptic vesicle targeting|synapse assembly|protein binding|retrograde trans-synaptic signaling by trans-synaptic protein complex|cell junction|filopodium tip|modulation of chemical synaptic transmission|positive regulation of synaptic transmission, GABAergic|positive regulation of presynaptic active zone assembly|heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules|nervous system development|external side of plasma membrane|neuron cell-cell adhesion|cell adhesion|regulation of neuron differentiation|positive regulation of intracellular signal transduction|integral component of plasma membrane|cellular response to calcium ion|postsynaptic membrane assembly|neurexin family protein binding|presynaptic membrane assembly|PDZ domain binding|neuron projection arborization|protein localization to synapse|calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules|neuron projection development|cytoskeletal matrix organization at active zone|positive regulation of synaptic vesicle endocytosis|receptor localization to synapse|cell surface|scaffold protein binding|AMPA glutamate receptor clustering|rhythmic process|neurexin clustering involved in presynaptic membrane assembly|terminal button organization|NMDA glutamate receptor clustering|membrane|integral component of membrane|postsynaptic density protein 95 clustering|positive regulation of circadian sleep/wake cycle, wakefulness|positive regulation of excitatory postsynaptic potential|carboxylic ester hydrolase activity|positive regulation of synaptic vesicle exocytosis	6330415N05Rik|NL1|Nlg1	protein
MGI:MGI:2444417	Sh3tc2	GO:0022011|GO:0005515|GO:1901184|GO:0031410|GO:0032287|GO:0033157|GO:0055037|GO:0005886	myelination in peripheral nervous system|protein binding|regulation of ERBB signaling pathway|cytoplasmic vesicle|peripheral nervous system myelin maintenance|regulation of intracellular protein transport|recycling endosome|plasma membrane	D430044G18Rik	protein
MGI:MGI:2444413	Sdk1	GO:0070062|GO:0048148|GO:0016020|GO:0016021|GO:0060998|GO:0030054|GO:0007155|GO:0045202|GO:0003674|GO:0005886	extracellular exosome|behavioral response to cocaine|membrane|integral component of membrane|regulation of dendritic spine development|cell junction|cell adhesion|synapse|molecular_function|plasma membrane	6720466O15Rik	protein
MGI:MGI:2147577	Ffar4	GO:0007186|GO:0007165|GO:0050728|GO:0008289|GO:0045444|GO:0046879|GO:0004871|GO:0005886|GO:0004930|GO:0005887|GO:0010827|GO:0030139|GO:0005504|GO:0005515|GO:0008527|GO:0043066|GO:0016020|GO:0070374|GO:0016021|GO:0050710	G-protein coupled receptor signaling pathway|signal transduction|negative regulation of inflammatory response|lipid binding|fat cell differentiation|hormone secretion|signal transducer activity|plasma membrane|G-protein coupled receptor activity|integral component of plasma membrane|regulation of glucose transport|endocytic vesicle|fatty acid binding|protein binding|taste receptor activity|negative regulation of apoptotic process|membrane|positive regulation of ERK1 and ERK2 cascade|integral component of membrane|negative regulation of cytokine secretion	Ffa4|Gpr120|Gpr129|O3far1|Pgr4	protein
MGI:MGI:2147570	Marveld1	GO:0005634|GO:0005856|GO:0001766|GO:0005737|GO:0016020|GO:0045121|GO:0008104|GO:0016021|GO:0042552|GO:0005886|GO:0007049|GO:0019911	nucleus|cytoskeleton|membrane raft polarization|cytoplasm|membrane|membrane raft|protein localization|integral component of membrane|myelination|plasma membrane|cell cycle|structural constituent of myelin sheath	Mrvldc1	protein
MGI:MGI:2443376	Pcdh20	GO:0008150|GO:0003723|GO:0005509|GO:0016020|GO:0016021|GO:0007155|GO:0007156|GO:0005886	biological_process|RNA binding|calcium ion binding|membrane|integral component of membrane|cell adhesion|homophilic cell adhesion via plasma membrane adhesion molecules|plasma membrane	C630015B17Rik|PCDH13	protein
MGI:MGI:2140839	Lrrc8c	GO:0007165|GO:0005783|GO:0045444|GO:0006810|GO:0005886|GO:0005225|GO:0005887|GO:0006811|GO:0098656|GO:0005737|GO:0016020|GO:0016021|GO:0034702	signal transduction|endoplasmic reticulum|fat cell differentiation|transport|plasma membrane|volume-sensitive anion channel activity|integral component of plasma membrane|ion transport|anion transmembrane transport|cytoplasm|membrane|integral component of membrane|ion channel complex	E430036I04Rik	protein
MGI:MGI:1926483	Nectin1	GO:0046718|GO:0060041|GO:0050839|GO:0007157|GO:0007411|GO:1902414|GO:0007155|GO:0007156|GO:0045202|GO:0002089|GO:0043005|GO:0005887|GO:0070166|GO:0046982|GO:0002934|GO:0043231|GO:0043296|GO:0016032|GO:0032584|GO:0030246|GO:0030424|GO:0051963|GO:0042802|GO:0042803|GO:0008037|GO:0004872|GO:0005102|GO:0005886|GO:0046790|GO:0044291|GO:0005912|GO:0048593|GO:0005515|GO:0005913|GO:0006826|GO:0016020|GO:0016021|GO:0030054|GO:0016342|GO:0098609	viral entry into host cell|retina development in camera-type eye|cell adhesion molecule binding|heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules|axon guidance|protein localization to cell junction|cell adhesion|homophilic cell adhesion via plasma membrane adhesion molecules|synapse|lens morphogenesis in camera-type eye|neuron projection|integral component of plasma membrane|enamel mineralization|protein heterodimerization activity|desmosome organization|intracellular membrane-bounded organelle|apical junction complex|viral process|growth cone membrane|carbohydrate binding|axon|regulation of synapse assembly|identical protein binding|protein homodimerization activity|cell recognition|receptor activity|receptor binding|plasma membrane|virion binding|cell-cell contact zone|adherens junction|camera-type eye morphogenesis|protein binding|cell-cell adherens junction|iron ion transport|membrane|integral component of membrane|cell junction|catenin complex|cell-cell adhesion	Cd111|HIgR|HveC|nectin-1|PRR|PRR1|Pvrl1	protein
MGI:MGI:1926479	Lat2	GO:0002250|GO:0042113|GO:0042169|GO:0043303|GO:0002376|GO:0005886|GO:0002764|GO:0070062|GO:0016020|GO:0045121|GO:0016021|GO:0019722|GO:0035556|GO:0050853	adaptive immune response|B cell activation|SH2 domain binding|mast cell degranulation|immune system process|plasma membrane|immune response-regulating signaling pathway|extracellular exosome|membrane|membrane raft|integral component of membrane|calcium-mediated signaling|intracellular signal transduction|B cell receptor signaling pathway	Wbscr15|Wbscr5	protein
MGI:MGI:2152213	Tirap	GO:0007250|GO:0007257|GO:0051092|GO:0005546|GO:0006954|GO:0032648|GO:0046982|GO:0032760|GO:0050830|GO:0005080|GO:0034141|GO:0034145|GO:0090023|GO:0045410|GO:0002376|GO:0005886|GO:0030139|GO:0032757|GO:0005515|GO:0044130|GO:0030099|GO:0030890|GO:0034137|GO:0035665|GO:0035662|GO:0035663|GO:2000340|GO:0043123|GO:0090073|GO:0032587|GO:0070935|GO:0042803|GO:0007165|GO:0007166|GO:0007249|GO:0032738|GO:0009617|GO:0032658|GO:0032735|GO:0045089|GO:0005737|GO:0071223|GO:0045087|GO:0046330|GO:0016020|GO:0045088|GO:0070374|GO:0071221|GO:2000343|GO:0032496	activation of NF-kappaB-inducing kinase activity|activation of JUN kinase activity|positive regulation of NF-kappaB transcription factor activity|phosphatidylinositol-4,5-bisphosphate binding|inflammatory response|regulation of interferon-beta production|protein heterodimerization activity|positive regulation of tumor necrosis factor production|defense response to Gram-positive bacterium|protein kinase C binding|positive regulation of toll-like receptor 3 signaling pathway|positive regulation of toll-like receptor 4 signaling pathway|positive regulation of neutrophil chemotaxis|positive regulation of interleukin-6 biosynthetic process|immune system process|plasma membrane|endocytic vesicle|positive regulation of interleukin-8 production|protein binding|negative regulation of growth of symbiont in host|myeloid cell differentiation|positive regulation of B cell proliferation|positive regulation of toll-like receptor 2 signaling pathway|TIRAP-dependent toll-like receptor 4 signaling pathway|Toll-like receptor 4 binding|Toll-like receptor 2 binding|positive regulation of chemokine (C-X-C motif) ligand 1 production|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of protein homodimerization activity|ruffle membrane|3'-UTR-mediated mRNA stabilization|protein homodimerization activity|signal transduction|cell surface receptor signaling pathway|I-kappaB kinase/NF-kappaB signaling|positive regulation of interleukin-15 production|response to bacterium|regulation of interleukin-15 production|positive regulation of interleukin-12 production|positive regulation of innate immune response|cytoplasm|cellular response to lipoteichoic acid|innate immune response|positive regulation of JNK cascade|membrane|regulation of innate immune response|positive regulation of ERK1 and ERK2 cascade|cellular response to bacterial lipopeptide|positive regulation of chemokine (C-X-C motif) ligand 2 production|response to lipopolysaccharide	C130027E04Rik|Mal|MyD88-adapter-like|wyatt	protein
MGI:MGI:2152211	Necab2	GO:0042802|GO:1904021|GO:0060168|GO:1905477|GO:1900451|GO:0042995|GO:0005886|GO:0031802|GO:0005737|GO:0046872|GO:0005509|GO:0016020|GO:0070374|GO:0031687	identical protein binding|negative regulation of G-protein coupled receptor internalization|positive regulation of adenosine receptor signaling pathway|positive regulation of protein localization to membrane|positive regulation of glutamate receptor signaling pathway|cell projection|plasma membrane|type 5 metabotropic glutamate receptor binding|cytoplasm|metal ion binding|calcium ion binding|membrane|positive regulation of ERK1 and ERK2 cascade|A2A adenosine receptor binding	Efcbp2	protein
MGI:MGI:1926471	Fancg	GO:0005634|GO:0006281|GO:0043240|GO:0007286|GO:0005739|GO:0009314|GO:0005829|GO:0005730|GO:0006974|GO:0005886|GO:0007005|GO:0001541	nucleus|DNA repair|Fanconi anaemia nuclear complex|spermatid development|mitochondrion|response to radiation|cytosol|nucleolus|cellular response to DNA damage stimulus|plasma membrane|mitochondrion organization|ovarian follicle development	Xrcc9	protein
MGI:MGI:2443399	Tmem131l	GO:0090090|GO:0005737|GO:0033088|GO:0016020|GO:0016021|GO:0016055|GO:0005783|GO:0003674|GO:0005886	negative regulation of canonical Wnt signaling pathway|cytoplasm|negative regulation of immature T cell proliferation in thymus|membrane|integral component of membrane|Wnt signaling pathway|endoplasmic reticulum|molecular_function|plasma membrane	D930015E06Rik	protein
MGI:MGI:1915835	Rtn4	GO:0014069|GO:0043209|GO:0007399|GO:0045665|GO:0045687|GO:0043025|GO:0051292|GO:0042995|GO:0043005|GO:0007413|GO:0005789|GO:0050771|GO:0003723|GO:0051960|GO:0070062|GO:0001525|GO:0010977|GO:0030308|GO:0045296|GO:0010634|GO:0032403|GO:1905580|GO:1905552|GO:0021801|GO:2000172|GO:0060317|GO:0005783|GO:0043234|GO:0005622|GO:0005886|GO:0005635|GO:0005515|GO:0031625|GO:0005737|GO:0030517|GO:0070571|GO:0016020|GO:0071782|GO:0016021|GO:0030176|GO:0071787|GO:0071786|GO:0030334|GO:0033603|GO:0050821|GO:0033601|GO:0051897|GO:0051930	postsynaptic density|myelin sheath|nervous system development|negative regulation of neuron differentiation|positive regulation of glial cell differentiation|neuronal cell body|nuclear pore complex assembly|cell projection|neuron projection|axonal fasciculation|endoplasmic reticulum membrane|negative regulation of axonogenesis|RNA binding|regulation of nervous system development|extracellular exosome|angiogenesis|negative regulation of neuron projection development|negative regulation of cell growth|cadherin binding|positive regulation of epithelial cell migration|protein complex binding|positive regulation of ERBB3 signaling pathway|positive regulation of protein localization to endoplasmic reticulum|cerebral cortex radial glia guided migration|regulation of branching morphogenesis of a nerve|cardiac epithelial to mesenchymal transition|endoplasmic reticulum|protein complex|intracellular|plasma membrane|nuclear envelope|protein binding|ubiquitin protein ligase binding|cytoplasm|negative regulation of axon extension|negative regulation of neuron projection regeneration|membrane|endoplasmic reticulum tubular network|integral component of membrane|integral component of endoplasmic reticulum membrane|endoplasmic reticulum tubular network formation|endoplasmic reticulum tubular network organization|regulation of cell migration|positive regulation of dopamine secretion|protein stabilization|positive regulation of mammary gland epithelial cell proliferation|positive regulation of protein kinase B signaling|regulation of sensory perception of pain	1110020G17Rik|C130026I10Rik|NgA|NOGO|Nogo-A|Nogo-B	protein
MGI:MGI:87995	Aldob	GO:0010043|GO:0034451|GO:0016829|GO:0061615|GO:0006000|GO:0030868|GO:0070061|GO:0030867|GO:0070062|GO:0003824|GO:0043231|GO:0005829|GO:0031210|GO:0030388|GO:0042802|GO:0032781|GO:0006096|GO:0061625|GO:0006116|GO:0004332|GO:0043434|GO:0005886|GO:0005764|GO:0061624|GO:0005634|GO:0070072|GO:0005856|GO:0048471|GO:0005815|GO:0005737|GO:0061609|GO:0008092|GO:0051117	response to zinc ion|centriolar satellite|lyase activity|glycolytic process through fructose-6-phosphate|fructose metabolic process|smooth endoplasmic reticulum membrane|fructose binding|rough endoplasmic reticulum membrane|extracellular exosome|catalytic activity|intracellular membrane-bounded organelle|cytosol|phosphatidylcholine binding|fructose 1,6-bisphosphate metabolic process|identical protein binding|positive regulation of ATPase activity|glycolytic process|glycolytic process through fructose-1-phosphate|NADH oxidation|fructose-bisphosphate aldolase activity|response to peptide hormone|plasma membrane|lysosome|fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate|nucleus|vacuolar proton-transporting V-type ATPase complex assembly|cytoskeleton|perinuclear region of cytoplasm|microtubule organizing center|cytoplasm|fructose-1-phosphate aldolase activity|cytoskeletal protein binding|ATPase binding	Aldo2|Aldo-2	protein
MGI:MGI:1930791	Tex101	GO:0002080|GO:0009566|GO:0051281|GO:0005576|GO:0005886|GO:0002696|GO:0046658|GO:1901317|GO:0007339|GO:0005515|GO:0001669|GO:0097722|GO:0016020|GO:0045121|GO:0031410|GO:0050731|GO:0031225	acrosomal membrane|fertilization|positive regulation of release of sequestered calcium ion into cytosol|extracellular region|plasma membrane|positive regulation of leukocyte activation|anchored component of plasma membrane|regulation of flagellated sperm motility|binding of sperm to zona pellucida|protein binding|acrosomal vesicle|sperm motility|membrane|membrane raft|cytoplasmic vesicle|positive regulation of peptidyl-tyrosine phosphorylation|anchored component of membrane	1700008H15Rik|TES101RP	protein
MGI:MGI:94919	Dpp4	GO:0035641|GO:0008284|GO:0042110|GO:0002020|GO:0005794|GO:0007155|GO:0042277|GO:0043542|GO:0005576|GO:0042995|GO:0046581|GO:0001666|GO:0070062|GO:0005925|GO:0010716|GO:0033632|GO:0030027|GO:0071438|GO:0036343|GO:0042802|GO:0042803|GO:0031295|GO:0004252|GO:0008236|GO:0004177|GO:0005783|GO:0008233|GO:0005102|GO:0008239|GO:0005765|GO:0005886|GO:0001662|GO:0009986|GO:0030139|GO:0051234|GO:0005518|GO:0006508|GO:0016020|GO:0016021|GO:0030054|GO:0001618|GO:0002709|GO:0016324|GO:0016787	locomotory exploration behavior|positive regulation of cell proliferation|T cell activation|protease binding|Golgi apparatus|cell adhesion|peptide binding|endothelial cell migration|extracellular region|cell projection|intercellular canaliculus|response to hypoxia|extracellular exosome|focal adhesion|negative regulation of extracellular matrix disassembly|regulation of cell-cell adhesion mediated by integrin|lamellipodium|invadopodium membrane|psychomotor behavior|identical protein binding|protein homodimerization activity|T cell costimulation|serine-type endopeptidase activity|serine-type peptidase activity|aminopeptidase activity|endoplasmic reticulum|peptidase activity|receptor binding|dipeptidyl-peptidase activity|lysosomal membrane|plasma membrane|behavioral fear response|cell surface|endocytic vesicle|establishment of localization|collagen binding|proteolysis|membrane|integral component of membrane|cell junction|virus receptor activity|regulation of T cell mediated immunity|apical plasma membrane|hydrolase activity	Cd26|Dpp-4|THAM	protein
MGI:MGI:1926446	Cd274	GO:0034097|GO:0031295|GO:0007165|GO:0032693|GO:2001181|GO:0009897|GO:0046007|GO:0007166|GO:1905404|GO:0042102|GO:1903556|GO:1901998|GO:0005886|GO:0009986|GO:0005515|GO:0006955|GO:0070062|GO:0042130|GO:0016020|GO:0016021|GO:0032689|GO:0030335	response to cytokine|T cell costimulation|signal transduction|negative regulation of interleukin-10 production|positive regulation of interleukin-10 secretion|external side of plasma membrane|negative regulation of activated T cell proliferation|cell surface receptor signaling pathway|positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process|positive regulation of T cell proliferation|negative regulation of tumor necrosis factor superfamily cytokine production|toxin transport|plasma membrane|cell surface|protein binding|immune response|extracellular exosome|negative regulation of T cell proliferation|membrane|integral component of membrane|negative regulation of interferon-gamma production|positive regulation of cell migration	B7-H1|Pdcd1lg1|PD-L1	protein
MGI:MGI:1100886	Prom1	GO:0071914|GO:0060042|GO:0005793|GO:0042995|GO:0001750|GO:0005887|GO:0070062|GO:0005903|GO:0005902|GO:0045296|GO:0045494|GO:0005929|GO:0032420|GO:0042805|GO:0005783|GO:0060219|GO:0005886|GO:0042622|GO:0009986|GO:0005615|GO:2000768|GO:0072112|GO:0016020|GO:0010842|GO:0016021|GO:0031982|GO:0072139|GO:0016324	prominosome|retina morphogenesis in camera-type eye|endoplasmic reticulum-Golgi intermediate compartment|cell projection|photoreceptor outer segment|integral component of plasma membrane|extracellular exosome|brush border|microvillus|cadherin binding|photoreceptor cell maintenance|cilium|stereocilium|actinin binding|endoplasmic reticulum|camera-type eye photoreceptor cell differentiation|plasma membrane|photoreceptor outer segment membrane|cell surface|extracellular space|positive regulation of nephron tubule epithelial cell differentiation|glomerular visceral epithelial cell differentiation|membrane|retina layer formation|integral component of membrane|vesicle|glomerular parietal epithelial cell differentiation|apical plasma membrane	4932416E19Rik|AC133|CD133|Prom|Prom-1	protein
MGI:MGI:1100883	Celsr1	GO:0090179|GO:0007275|GO:0009952|GO:0007155|GO:0007156|GO:0090251|GO:0060488|GO:0060489|GO:0005654|GO:0004930|GO:0005887|GO:0001764|GO:0042060|GO:0007626|GO:0001843|GO:0001942|GO:0001702|GO:0005509|GO:0045176|GO:0060490|GO:0046928|GO:0007186|GO:0007165|GO:0007267|GO:0007166|GO:0046983|GO:0007266|GO:0048105|GO:0004871|GO:0005886|GO:0042249|GO:0004888|GO:0005515|GO:0007417|GO:0032956|GO:0001736|GO:0016020|GO:0042472|GO:0016021	planar cell polarity pathway involved in neural tube closure|multicellular organism development|anterior/posterior pattern specification|cell adhesion|homophilic cell adhesion via plasma membrane adhesion molecules|protein localization involved in establishment of planar polarity|orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis|planar dichotomous subdivision of terminal units involved in lung branching morphogenesis|nucleoplasm|G-protein coupled receptor activity|integral component of plasma membrane|neuron migration|wound healing|locomotory behavior|neural tube closure|hair follicle development|gastrulation with mouth forming second|calcium ion binding|apical protein localization|lateral sprouting involved in lung morphogenesis|regulation of neurotransmitter secretion|G-protein coupled receptor signaling pathway|signal transduction|cell-cell signaling|cell surface receptor signaling pathway|protein dimerization activity|Rho protein signal transduction|establishment of body hair planar orientation|signal transducer activity|plasma membrane|establishment of planar polarity of embryonic epithelium|transmembrane signaling receptor activity|protein binding|central nervous system development|regulation of actin cytoskeleton organization|establishment of planar polarity|membrane|inner ear morphogenesis|integral component of membrane	Adgrc1|crash|Crsh|Scy	protein
